Comparison (group1/group2),Group,ProteinGroups,PTM.ModificationTitle,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process,Condition (Numerator),Condition (Denominator),protein_log2fc,corrected_log2fc,site_class
LPS+Nigericin / LPS,Cont_P68103_K408_M1_22,Cont_P68103;P68104,Methyl (KR),-3.2600450898836044,3.2600450898836044,3.1992169023973e-4,0.3034124378010184,6,Cont_P68103;P68104,EEF1A1,Elongation factor 1-alpha 1,EF1A1_BOVIN;EF1A1_HUMAN,61,858.0129048913922,9.58012904891392,LPS,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,LPS,-0.2381881335459985,-3.021856956337606,Robust
LPS+Nigericin / LPS,P68104_K408_M1_22,Cont_P68103;P68104,Methyl (KR),-3.2600450898836044,3.2600450898836044,3.1992169023973e-4,0.3034124378010184,6,Cont_P68103;P68104,EEF1A1,Elongation factor 1-alpha 1,EF1A1_BOVIN;EF1A1_HUMAN,61,858.0129048913922,9.58012904891392,LPS,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,LPS,-0.2381881335459985,-3.021856956337606,Robust
P3C4+Nigericin / Unstim,Cont_P60712_K291_M1_13,Cont_P60712;P60709,Dimethyl (KR),2.3385384374989053,2.3385384374989053,3.322767477263e-4,0.30442702023419194,5,Cont_P60712;P60709,ACTB,"Actin, cytoplasmic 1;Actin, cytoplasmic 1",ACTB_BOVIN;ACTB_HUMAN,68,-80.2289477291254,0.1977105227087461,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.3924670563300755,2.731005493828981,Robust
P3C4+Nigericin / Unstim,P60709_K291_M1_13,Cont_P60712;P60709,Dimethyl (KR),2.3385384374989053,2.3385384374989053,3.322767477263e-4,0.30442702023419194,5,Cont_P60712;P60709,ACTB,"Actin, cytoplasmic 1;Actin, cytoplasmic 1",ACTB_BOVIN;ACTB_HUMAN,68,-80.2289477291254,0.1977105227087461,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.3924670563300755,2.731005493828981,Robust
LPS+Nigericin / LPS,P80723_T151_M1_31,P80723,Sulfo (STY),2.035578588891608,2.035578588891608,3.4884500534825e-4,0.3078725204731436,6,P80723,BASP1,Brain acid soluble protein 1,BASP1_HUMAN,35,-75.60898989011518,0.24391010109884811,LPS,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,LPS,-0.5046118237879901,2.540190412679598,Robust
P3C4+Nigericin / P3C4,Q9UPN9_K953_M1_0,Q9UPN9,Acetyl (K),-2.580214438820031,2.580214438820031,5.4294396611146e-4,0.3438943464604136,6,Q9UPN9,TRIM33,E3 ubiquitin-protein ligase TRIM33,TRI33_HUMAN,33,498.02858241933495,5.980285824193349,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.9048087551006172,-1.675405683719414,Robust
LPS+Nigericin / LPS,Q9H1B7_C385_M1_24,Q9H1B7,Nitrosyl,-3.668253714088297,3.668253714088297,6.8165360210564e-4,0.3561232173866608,6,Q9H1B7,IRF2BPL,Probable E3 ubiquitin-protein ligase IRF2BPL,I2BPL_HUMAN,36,1171.3185961159963,12.713185961159963,LPS,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,LPS,-0.7142621419469594,-2.9539915721413377,Robust
LPS+Nigericin / LPS,Q9H1B7_R391_M1_22,Q9H1B7,Methyl (KR),-3.841629965067369,3.841629965067369,6.8339326126083e-4,0.356362841314317,6,Q9H1B7,IRF2BPL,Probable E3 ubiquitin-protein ligase IRF2BPL,I2BPL_HUMAN,36,1333.6589548704137,14.336589548704136,LPS,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,LPS,-0.7142621419469594,-3.1273678231204096,Robust
LPS / Unstim,P20273_T291_M1_19,P20273,HexNAc (ST),-2.071590640095131,2.071590640095131,7.2405431776659e-4,0.35760878155841874,5,P20273,CD22,B-cell receptor CD22,CD22_HUMAN,25,320.3498738374722,4.203498738374722,Unstim,LPS,NA,NA,NA,LPS,Unstim,-0.2610009328932087,-1.8105897072019226,Robust
P3C4+Nigericin / P3C4,Q96PU8_R242_M1_13,Q96PU8,Dimethyl (KR),-3.05336934956408,3.05336934956408,7.3055454047474e-4,0.35862674279042217,6,Q96PU8,QKI,KH domain-containing RNA-binding protein QKI,QKI_HUMAN,29,730.1484513506358,8.301484513506358,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-1.3215702876632065,-1.7317990619008734,Robust
LPS+Nigericin / Unstim,O60293_R690_M2_13,O60293,Dimethyl (KR),-2.154794780663547,2.154794780663547,7.745633070184e-4,0.36401857710975494,5,O60293,ZFC3H1,Zinc finger C3H1 domain-containing protein,ZC3H1_HUMAN,18,345.3052993520842,4.453052993520842,Unstim,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,Unstim,-0.9383405414787952,-1.2164542391847517,Robust
P3C4+Nigericin / P3C4,Q04721_T696_M1_19,Q04721,HexNAc (ST),2.5885284352953466,2.5885284352953466,8.1047402890389e-4,0.3664889325175276,6,Q04721,NOTCH2,Neurogenic locus notch homolog protein 2,NOTC2_HUMAN,52,-83.37447775529495,0.16625522244705063,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.9115605387187002,3.500088974014047,Robust
LPS+Nigericin / Unstim,P07900_C597_M2_24,P07900,Nitrosyl,-4.889420841703615,4.889420841703615,8.6267125803944e-4,0.3689727201216758,5,P07900,HSP90AA1,Heat shock protein HSP 90-alpha,HS90A_HUMAN,61,2863.891728747062,29.638917287470623,Unstim,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,Unstim,-0.7200308763953134,-4.1693899653083015,Robust
P3C4+Nigericin / P3C4,P62857_R31_M1_22,P62857,Methyl (KR),-2.1808945318724615,2.1808945318724615,9.0172964388897e-4,0.3714498562687991,6,P62857,RPS28,Small ribosomal subunit protein eS28,RS28_HUMAN,12,353.43461559147755,4.5343461559147755,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.8716796640038033,-1.3092148678686581,Robust
LPS+Nigericin / Unstim,P30101_K173_M1_23,P30101,Myristoyl,3.757079427522215,3.757079427522215,9.5333935768546e-4,0.3749188849489598,5,P30101,PDIA3,Protein disulfide-isomerase A3,PDIA3_HUMAN,92,-92.6038383206639,0.07396161679336094,Unstim,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,Unstim,0.05063819108839763,3.7064412364338173,Robust
LPS+Nigericin / LPS,Q562R1_S304_M1_31,Q562R1,Sulfo (STY),5.871296236735688,5.871296236735688,9.3509625096229e-4,0.3749188849489598,6,Q562R1,ACTBL2,Beta-actin-like protein 2,ACTBL_HUMAN,16,-98.29170165826024,0.01708298341739742,LPS,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,LPS,0.00814448992781973,5.863151746807868,Robust
P3C4+Nigericin / Unstim,P30101_T319_M1_31,P30101,Sulfo (STY),-4.80954940913015,4.80954940913015,0.00101700418285133,0.37778307634806024,5,P30101,PDIA3,Protein disulfide-isomerase A3,PDIA3_HUMAN,92,2704.262327973003,28.04262327973003,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.02597705766223096,-4.783572351467919,Robust
P3C4+Nigericin / P3C4,P33241_S189_M1_28,P33241,Phospho (STY),1.3560409880102768,1.3560409880102768,0.00102671861903445,0.3779632680976427,6,P33241,LSP1,Lymphocyte-specific protein 1,LSP1_HUMAN,33,-60.934715880146165,0.3906528411985383,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-1.6318089290809183,2.987849917091195,Robust
LPS+Nigericin / LPS,P48643_S434_M1_31,P48643,Sulfo (STY),-5.5288630157029415,5.5288630157029415,0.00102572659682263,0.3779632680976427,5,P48643,CCT5,T-complex protein 1 subunit epsilon,TCPE_HUMAN,60,4516.9333980288475,46.16933398028847,LPS,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,LPS,-0.14389834770420393,-5.384964667998737,Robust
P3C4+Nigericin / P3C4,Q96I24_T192_M1_19,Q96I24,HexNAc (ST),-1.7873733613974214,1.7873733613974214,0.00103129587298091,0.3782922659493159,6,Q96I24,FUBP3,Far upstream element-binding protein 3,FUBP3_HUMAN,47,245.1858584258306,3.451858584258306,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-1.1554516837281088,-0.6319216776693126,Robust
LPS+Nigericin / LPS,P14618_C152_M1_24,P14618,Nitrosyl,-1.007412692882308,1.007412692882308,0.00103805052958062,0.37910584523265567,6,P14618,PKM,Pyruvate kinase PKM,KPYM_HUMAN,78,101.03026195564446,2.0103026195564446,LPS,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,LPS,-0.35254321335089667,-0.6548694795314113,Robust
LPS+Nigericin / LPS,P14618_K151_M1_13,P14618,Dimethyl (KR),-1.007412692882308,1.007412692882308,0.00103805052958062,0.37910584523265567,6,P14618,PKM,Pyruvate kinase PKM,KPYM_HUMAN,78,101.03026195564446,2.0103026195564446,LPS,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,LPS,-0.35254321335089667,-0.6548694795314113,Robust
P3C4+Nigericin / P3C4,Q27J81_K966_M1_17,Q27J81,GlyGly (K),-1.7526921118310812,1.7526921118310812,0.0010580523243069,0.3818527409577571,6,Q27J81,INF2,Inverted formin-2,INF2_HUMAN,48,236.9868071601933,3.369868071601933,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.7363871348191302,-1.016304977011951,Robust
LPS+Nigericin / LPS,Q92835_K200_M1_0,Q92835,Acetyl (K),5.053905289607514,5.053905289607514,0.00120222198677751,0.386612793499888,6,Q92835,INPP5D,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",SHIP1_HUMAN,74,-96.98960896079582,0.0301039103920419,LPS,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,LPS,-0.3229765112161804,5.3768818008236945,Robust
P3C4 / Unstim,Q92835_T1012_M1_31,Q92835,Sulfo (STY),3.0352270969782458,3.0352270969782458,0.00121899319657333,0.386612793499888,6,Q92835,INPP5D,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",SHIP1_HUMAN,74,-87.80152332353404,0.12198476676465968,Unstim,P3C4,NA,NA,NA,P3C4,Unstim,-0.107753040103177,3.1429801370814228,Robust
P3C4+Nigericin / P3C4,Q9UBQ7_S60_M1_28,Q9UBQ7,Phospho (STY),-1.720596431485354,1.720596431485354,0.00117024927891702,0.386612793499888,6,Q9UBQ7,GRHPR,Glyoxylate reductase/hydroxypyruvate reductase,GRHPR_HUMAN,26,229.5726289502817,3.295726289502817,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-1.063648915187769,-0.6569475162975849,Robust
P3C4 / Unstim,Q9BT09_K202_M1_13,Q9BT09,Dimethyl (KR),1.0054841069371572,1.0054841069371572,0.00128836976965554,0.38998767550901303,6,Q9BT09,CNPY3,Protein canopy homolog 3,CNPY3_HUMAN,24,-50.189703874606536,0.4981029612539346,Unstim,P3C4,NA,NA,NA,P3C4,Unstim,0.15571490392802972,0.8497692030091275,Robust
P3C4+Nigericin / Unstim,P0C0S8_Y58_M1_28,P0C0S8;Q96KK5;Q99878,Phospho (STY),-2.1933733937766027,2.1933733937766027,0.00132027546222334,0.39008356857842985,5,P0C0S8;Q96KK5;Q99878,H2AC11;H2AC12;H2AC14,Histone H2A type 1;Histone H2A type 1-H;Histone H2A type 1-J,H2A1_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN,18,357.37369486408295,4.573736948640829,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.1784881351680194,-2.0148852586085835,Robust
P3C4+Nigericin / Unstim,Q96KK5_Y58_M1_28,P0C0S8;Q96KK5;Q99878,Phospho (STY),-2.1933733937766027,2.1933733937766027,0.00132027546222334,0.39008356857842985,5,P0C0S8;Q96KK5;Q99878,H2AC11;H2AC12;H2AC14,Histone H2A type 1;Histone H2A type 1-H;Histone H2A type 1-J,H2A1_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN,18,357.37369486408295,4.573736948640829,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.1784881351680194,-2.0148852586085835,Robust
P3C4+Nigericin / Unstim,Q99878_Y58_M1_28,P0C0S8;Q96KK5;Q99878,Phospho (STY),-2.1933733937766027,2.1933733937766027,0.00132027546222334,0.39008356857842985,5,P0C0S8;Q96KK5;Q99878,H2AC11;H2AC12;H2AC14,Histone H2A type 1;Histone H2A type 1-H;Histone H2A type 1-J,H2A1_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN,18,357.37369486408295,4.573736948640829,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.1784881351680194,-2.0148852586085835,Robust
P3C4+Nigericin / P3C4,P10253_R837_M1_22,P10253,Methyl (KR),8.840145280092846,8.840145280092846,0.00134928136506838,0.3906326447806844,6,P10253,GAA,Lysosomal alpha-glucosidase,LYAG_HUMAN,45,-99.7818018296136,0.00218198170386399,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.518906914404812,9.359052194497659,Robust
LPS+Nigericin / LPS,Q8WWM7_S188_M1_31,Q8WWM7,Sulfo (STY),-6.489479221020988,6.489479221020988,0.00135004612089119,0.3906326447806844,5,Q8WWM7,ATXN2L,Ataxin-2-like protein,ATX2L_HUMAN,52,8885.203172226535,89.85203172226535,LPS,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,LPS,-0.9009565322101568,-5.588522688810832,Robust
P3C4+Nigericin / P3C4,Q09472_R2059_M1_13,Q09472,Dimethyl (KR),-2.1292059178451948,2.1292059178451948,0.00138979764114637,0.391357825084939,6,Q09472,EP300,Histone acetyltransferase p300,EP300_HUMAN,40,337.476620176888,4.37476620176888,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.799847328674584,-1.3293585891706108,Robust
P3C4+Nigericin / Unstim,Q15121_Y4_M1_28,Q15121,Phospho (STY),0.9512854114659616,0.9512854114659616,0.00139983611437727,0.3926360353950436,5,Q15121,PEA15,Astrocytic phosphoprotein PEA-15,PEA15_HUMAN,14,-48.28285325064763,0.5171714674935237,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-1.233435235064423,2.184720646530385,Robust
P3C4+Nigericin / P3C4,Q9NRX4_K112_M1_13,Q9NRX4,Dimethyl (KR),-2.6886552832158133,2.6886552832158133,0.00143935467027763,0.3938625879759649,6,Q9NRX4,PHPT1,14 kDa phosphohistidine phosphatase,PHP14_HUMAN,11,544.7121995995581,6.44712199599558,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-1.391848260614894,-1.2968070226009192,Robust
P3C4+Nigericin / Unstim,Cont_Q3SYV4_K100_M1_10,Cont_Q3SYV4,Crotonyl,2.3533195487924026,2.3533195487924026,0.00145886995282829,0.3949413636473035,6,Cont_Q3SYV4,CAP1,Adenylyl cyclase-associated protein 1,CAP1_BOVIN,11,-80.43047761219333,0.19569522387806676,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-1.479922408438247,3.8332419572306495,Robust
LPS / Unstim,P11021_K621_M1_10,P11021,Crotonyl,-1.1634399366338963,1.1634399366338963,0.00147787903934543,0.39529137785325624,6,P11021,HSPA5,Endoplasmic reticulum chaperone BiP,BIP_HUMAN,92,123.99087128143329,2.2399087128143327,Unstim,LPS,NA,NA,NA,LPS,Unstim,-0.1387704116563993,-1.024669524977497,Robust
LPS+Nigericin / Unstim,P13667_Y595_M1_31,P13667,Sulfo (STY),13.236921884753473,13.236921884753473,0.00149047551190474,0.39529137785325624,6,P13667,PDIA4,Protein disulfide-isomerase A4,PDIA4_HUMAN,81,-99.989641676688,1.0358323311986e-4,Unstim,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,Unstim,0.06604250555220907,13.170879379201264,Robust
P3C4+Nigericin / P3C4,Q99795_K4_M2_22,Q99795,Methyl (KR),8.344748722292653,8.344748722292653,0.00146950279978161,0.39529137785325624,6,Q99795,GPA33,Cell surface A33 antigen,GPA33_HUMAN,13,-99.69240425161767,0.003075957483823,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.5074816707323584,8.852230393025012,Robust
P3C4+Nigericin / Unstim,Q99795_K4_M2_22,Q99795,Methyl (KR),8.228984391746657,8.228984391746657,0.0014713217310211,0.39529137785325624,6,Q99795,GPA33,Cell surface A33 antigen,GPA33_HUMAN,13,-99.6667049495864,0.00333295050413611,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.4298544621942987,8.658838853940956,Robust
LPS+Nigericin / Unstim,O60293_K687_M1_17,O60293,GlyGly (K),-2.6582559315973757,2.6582559315973757,0.00152099902507913,0.3963673265705514,6,O60293,ZFC3H1,Zinc finger C3H1 domain-containing protein,ZC3H1_HUMAN,18,531.2694488545501,6.3126944885455005,Unstim,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,Unstim,-0.9383405414787952,-1.7199153901185804,Robust
LPS+Nigericin / LPS,P07900_K443_M1_17,P07900,GlyGly (K),-1.3870717812574984,1.3870717812574984,0.00153418699425124,0.396461470070239,6,P07900,HSP90AA1,Heat shock protein HSP 90-alpha,HS90A_HUMAN,61,161.5472826624571,2.615472826624571,LPS,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,LPS,-0.35524963459204495,-1.0318221466654536,Robust
LPS+Nigericin / LPS,P07900_S442_M1_28,P07900,Phospho (STY),-1.3870717812574984,1.3870717812574984,0.00153418529062676,0.396461470070239,6,P07900,HSP90AA1,Heat shock protein HSP 90-alpha,HS90A_HUMAN,61,161.5472826624571,2.615472826624571,LPS,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,LPS,-0.35524963459204495,-1.0318221466654536,Robust
LPS+Nigericin / Unstim,Cont_P68103_C234_M1_24,Cont_P68103;P68104,Nitrosyl,0.6420010719651997,0.6420010719651997,0.00154100195934448,0.39680373413781106,6,Cont_P68103;P68104,EEF1A1,Elongation factor 1-alpha 1,EF1A1_BOVIN;EF1A1_HUMAN,61,-35.917651407093466,0.6408234859290654,Unstim,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,Unstim,-0.4268423929717123,1.068843464936912,Robust
LPS+Nigericin / Unstim,P68104_C234_M1_24,Cont_P68103;P68104,Nitrosyl,0.6420010719651997,0.6420010719651997,0.00154100195934448,0.39680373413781106,6,Cont_P68103;P68104,EEF1A1,Elongation factor 1-alpha 1,EF1A1_BOVIN;EF1A1_HUMAN,61,-35.917651407093466,0.6408234859290654,Unstim,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,Unstim,-0.4268423929717123,1.068843464936912,Robust
P3C4+Nigericin / Unstim,P13010_T293_M1_19,P13010,HexNAc (ST),-2.9957945314085235,2.9957945314085235,0.00155825801973978,0.397703192266276,5,P13010,XRCC5,X-ray repair cross-complementing protein 5,XRCC5_HUMAN,77,697.6713886523769,7.976713886523769,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-1.2814058265343584,-1.714388704874165,Robust
P3C4+Nigericin / Unstim,P54819_S228_M1_19,P54819,HexNAc (ST),-2.943879572583782,2.943879572583782,0.00156751495334961,0.3979711795320307,5,P54819,AK2,"Adenylate kinase 2, mitochondrial",KAD2_HUMAN,37,669.4777297253834,7.694777297253834,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-1.595447348222533,-1.348432224361249,Robust
LPS+Nigericin / LPS,Q04760_Y136_M2_31,Q04760,Sulfo (STY),-7.143677598112823,7.143677598112823,0.0015925935919856,0.3981841645778076,6,Q04760,GLO1,Lactoylglutathione lyase,LGUL_HUMAN,31,14040.385072774452,141.40385072774453,LPS,LPS+Nigericin,NA,NA,NA,LPS+Nigericin,LPS,-0.833373170223219,-6.310304427889603,Robust
P3C4+Nigericin / Unstim,Q9UKM9_S135_M1_28,Q9UKM9,Phospho (STY),-1.5914113044612117,1.5914113044612117,0.00159230718954729,0.3981841645778076,6,Q9UKM9,RALY,RNA-binding protein Raly,RALY_HUMAN,29,201.34399260470252,3.0134399260470253,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.9410864020578578,-0.6503249024033539,Robust
P3C4+Nigericin / P3C4,O60318_K1813_M1_17,O60318,GlyGly (K),-2.9537584720829244,2.9537584720829244,0.00172127295137754,0.400279347854168,6,O60318,MCM3AP,Germinal-center associated nuclear protein,GANP_HUMAN,38,674.7648337375927,7.747648337375927,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.5640746708387702,-2.3896838012441544,Robust
P3C4+Nigericin / P3C4,O14497_S363_M1_28,O14497,Phospho (STY),-1.5879805669841154,1.5879805669841154,0.00176406712866642,0.400982862512031,6,O14497,ARID1A,AT-rich interactive domain-containing protein 1A,ARI1A_HUMAN,65,200.62824614135053,3.0062824614135053,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.9083498606540128,-0.6796307063301026,Robust
P3C4+Nigericin / P3C4,P05107_C447_M2_24,P05107,Nitrosyl,1.1297457229629209,1.1297457229629209,0.00175287861745701,0.400982862512031,6,P05107,ITGB2,Integrin beta-2,ITB2_HUMAN,73,-54.300373574652824,0.4569962642534718,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.03581221486589295,1.165557937828814,Robust
P3C4+Nigericin / P3C4,P05107_C445_M2_24,P05107,Nitrosyl,1.1297457229629209,1.1297457229629209,0.00175288078755383,0.400982862512031,6,P05107,ITGB2,Integrin beta-2,ITB2_HUMAN,73,-54.300373574652824,0.4569962642534718,P3C4,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,P3C4,-0.03581221486589295,1.165557937828814,Robust
P3C4+Nigericin / Unstim,P13489_R257_M1_22,P13489,Methyl (KR),-1.5128716977842658,1.5128716977842658,0.001774878457789,0.400982862512031,6,P13489,RNH1,Ribonuclease inhibitor,RINI_HUMAN,45,185.37752073028665,2.853775207302866,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.785966754475838,-0.7269049433084278,Robust
P3C4+Nigericin / Unstim,Q5JTV8_S143_M1_28,Q5JTV8,Phospho (STY),-1.8695107767287709,1.8695107767287709,0.00183117246477927,0.400982862512031,6,Q5JTV8,TOR1AIP1,Torsin-1A-interacting protein 1,TOIP1_HUMAN,47,265.4086476441716,3.654086476441716,Unstim,P3C4+Nigericin,NA,NA,NA,P3C4+Nigericin,Unstim,-0.6151343718895943,-1.2543764048391766,Robust
