Genes,N_robust_sites,PTM_classes,Comparisons,Max_abs_corr,Mean_abs_corr
ACAT1,5,1,4,8.997212479,5.515930058
STK10,4,1,4,3.756176551,2.471255794
IRF2BPL,4,1,4,3.387104282,2.747742112
SMC1A,4,1,4,2.484327221,1.933158764
TRIM33,4,1,4,1.923575034,1.399373904
RCSD1,4,1,3,1.725085164,1.173177835
CCDC86,4,1,3,1.397191992,0.86301356
HELZ2,3,1,3,6.923992583,5.176356824
CCL3,3,1,3,6.773394835,4.763968134
SNRNP70,3,1,3,6.407778411,5.468928348
ACIN1,3,1,3,5.781074048,4.740321504
PRMT5,3,1,3,5.370090767,3.113358133
PDCD6IP,3,1,3,4.000660358,3.979739377
LNPK,3,1,3,3.388511096,2.687650066
PRSS1,3,1,3,2.977140902,2.068676379
HSP90AA4P,3,1,3,2.763473852,1.842315901
CD44,3,1,3,2.258330372,2.189537913
CANX,3,1,3,2.180108544,2.004065334
TAP1,3,1,3,2.078766086,2.068837968
CD22,3,1,3,2.054489034,1.757177125
FTH1,3,1,3,1.980760642,1.669076859
FABP5,3,1,3,1.892445222,1.591437605
USP19,3,1,3,1.874961126,1.659105242
ZFC3H1,3,1,3,1.71991539,1.221875094
JUND,3,1,3,1.530138333,1.128123282
PCBP1,3,1,3,1.279597071,1.042262057
MIDEAS,3,1,3,1.138365419,0.890935588
AARS1,3,1,3,1.039342499,0.877221118
POTEJ,3,1,3,0.864876813,0.698495849
SMARCD3,3,1,3,0.750661482,0.71425707
WDR70,3,1,3,0.720408275,0.677131648
ARID1A,3,1,3,0.70520376,0.67932354
LMNB1,4,1,2,8.376175116,5.158694804
XRCC6,4,1,2,2.611616406,1.719639481
GLA,4,1,2,1.332308266,1.052104523
VPS4B,3,1,2,1.65706158,0.979418394
CLIC1,2,1,2,12.16530935,12.05359087
RPL13,2,1,2,11.46964354,11.10237034
SDHA,2,1,2,9.782357487,9.608610484
PSMD12,2,1,2,7.756963526,4.250109094
HSD17B4,2,1,2,7.519485264,7.430557563
MRE11,2,1,2,7.256344752,4.532783992
RAB5B,2,1,2,7.175230767,4.045202402
GATD1,2,1,2,7.09340963,7.041452127
GOT2,2,1,2,6.787207755,6.64848448
HMGB3,2,1,2,6.600110647,4.8608148
YWHAB,2,1,2,6.346904206,3.619840667
PSMD1,2,1,2,6.239256045,3.589316483
DHRS4,2,1,2,5.884244618,4.348362675
RPS23,2,1,2,5.699912395,3.767723572
PLEKHO1,2,1,2,5.394548593,3.702638724
EIF5B,2,1,2,5.299464961,3.177871939
COPE,2,1,2,5.158035769,4.891354949
CMC2,2,1,2,4.387326839,2.542302602
SFPQ,2,1,2,4.254911514,2.780239231
TRAF1,2,1,2,4.190704435,3.485405379
EXT2,2,1,2,3.925723598,3.729150982
AQR,2,1,2,3.772307809,3.476703117
PGK1,2,1,2,3.67449776,2.189832029
CDK11B,2,1,2,3.646144318,3.53158072
RPL27A,2,1,2,3.3760761,3.213927562
DAB2,2,1,2,3.332542335,3.105715281
HSPA1L,2,1,2,3.297081035,3.24220161
RPL8,2,1,2,3.210784448,2.636714493
HSPA13,2,1,2,2.858850087,2.470080418
PLIN2,2,1,2,2.376120455,2.254119468
DNAJA3,2,1,2,2.350104071,2.105894158
MSN,2,1,2,2.330520491,1.62985226
MTRF1L,2,1,2,2.321491053,2.197325206
RNPEP,2,1,2,2.194191372,1.727100901
DGCR8,2,1,2,2.039144533,1.954155246
EHD1,2,1,2,2.005341075,1.305491408
EIF5,2,1,2,1.996426779,1.976746337
SMAP2,2,1,2,1.962188336,1.943096343
ITGA5,2,1,2,1.808835139,1.718351372
SLC25A24,2,1,2,1.791179243,1.746817126
CD84,2,1,2,1.715757289,1.613987744
TAF15,2,1,2,1.65297032,1.613076729
LASP1,2,1,2,1.607553867,1.505206276
M6PR,2,1,2,1.548512761,1.464817462
STX8,2,1,2,1.478750118,1.448309096
TOR1AIP1,2,1,2,1.45733801,1.355857208
BLMH,2,1,2,1.377353248,1.359007316
NSUN2,2,1,2,1.297564384,1.021794847
SPN,2,1,2,1.244497084,1.11023452
ATAD3A,2,1,2,1.242794723,1.130152014
BCL2L13,2,1,2,1.216804731,1.12464534
ACOT8,2,1,2,1.215377784,1.006906968
SMS,2,1,2,1.21071569,1.165334374
TTI2,2,1,2,1.162915514,0.962664566
MDH1,2,1,2,1.131641198,0.975214175
PA2G4,2,1,2,1.10724612,0.96460588
MAP1S,2,1,2,1.060641993,1.036182982
HNRNPL,2,1,2,1.043619107,0.816687814
RPS17,2,1,2,1.018081505,0.948496569
FUS,2,1,2,0.95486053,0.873311165
LARP1,2,1,2,0.94158771,0.817097205
NR3C1,2,1,2,0.935555875,0.851505284
IVD,2,1,2,0.933401549,0.779215222
GAA,2,1,2,0.860091883,0.796076426
CTSZ,2,1,2,0.774772687,0.692127661
TUBB6,2,1,2,0.75470966,0.716983312
IRS2,2,1,2,0.733412895,0.679017151
TNS3,2,1,2,0.724494758,0.684434873
ANPEP,2,1,2,0.675052989,0.650159535
GRHPR,2,1,2,0.656947516,0.652860609
H2AZ1;H2AZ2,4,1,1,1.445886087,1.445886087
H2AC11;H2AC12;H2AC14,3,1,1,2.014885259,2.014885259
RAB1B,2,1,1,9.584550859,9.584550859
IL1RN,2,1,1,6.781361243,6.781361243
UGGT1,2,1,1,6.385416802,6.385416802
ETFB,2,1,1,2.071890874,1.854537987
SSB,2,1,1,1.853952197,1.853952197
LARP4,2,1,1,1.463526833,1.463526833
CCT8,2,1,1,1.428493969,1.428493969
DDX18,2,1,1,1.23446115,1.23446115
CSTB,2,1,1,1.014174155,1.014174155
OLA1,2,1,1,0.791257521,0.791257521
PDIA4,1,1,1,13.17087938,13.17087938
TMEM245,1,1,1,10.19643029,10.19643029
TMEM109,1,1,1,10.03969646,10.03969646
GLRX,1,1,1,9.172571858,9.172571858
GMFG,1,1,1,9.102255643,9.102255643
CYC1,1,1,1,9.056273375,9.056273375
HSPA8,1,1,1,8.73656459,8.73656459
ZNF326,1,1,1,8.733765602,8.733765602
RPL6,1,1,1,8.60825312,8.60825312
FLNA,1,1,1,8.423915264,8.423915264
BST1,1,1,1,8.413739483,8.413739483
CD38,1,1,1,8.130877506,8.130877506
ARHGEF2,1,1,1,7.610147061,7.610147061
CD81,1,1,1,7.42227474,7.42227474
ERH,1,1,1,7.365760197,7.365760197
LAP3,1,1,1,7.02302169,7.02302169
HSDL2,1,1,1,6.818228056,6.818228056
SNRPA1,1,1,1,6.54666835,6.54666835
NDUFAF3,1,1,1,6.542790105,6.542790105
PSMC2,1,1,1,6.463948082,6.463948082
PEF1,1,1,1,6.415614192,6.415614192
VCP,1,1,1,6.246723955,6.246723955
ACSL4,1,1,1,6.220315375,6.220315375
TMT1A,1,1,1,6.211562934,6.211562934
RAB32,1,1,1,6.040620756,6.040620756
GANAB,1,1,1,5.87365806,5.87365806
TECR,1,1,1,5.740364878,5.740364878
COMT,1,1,1,5.572519775,5.572519775
PPT1,1,1,1,5.344999115,5.344999115
RPL10L,1,1,1,5.242856028,5.242856028
PGAM1,1,1,1,5.12727127,5.12727127
SEC16A,1,1,1,5.073827703,5.073827703
RHEB,1,1,1,5.073657003,5.073657003
CORO7,1,1,1,4.961151401,4.961151401
ME2,1,1,1,4.824416851,4.824416851
PPA1,1,1,1,4.816982924,4.816982924
ZPR1,1,1,1,4.815090358,4.815090358
TGM2,1,1,1,4.644000158,4.644000158
TMED9,1,1,1,4.586806022,4.586806022
AGA,1,1,1,4.513751148,4.513751148
POTEF,1,1,1,4.458762879,4.458762879
SAMM50,1,1,1,3.693462683,3.693462683
ARPP19,1,1,1,3.555285476,3.555285476
NOTCH2,1,1,1,3.500088974,3.500088974
IFI30,1,1,1,3.490763028,3.490763028
HNRNPR,1,1,1,3.444251824,3.444251824
HNRNPUL1,1,1,1,3.18549499,3.18549499
CMPK1,1,1,1,2.99252172,2.99252172
LAMTOR5,1,1,1,2.768016778,2.768016778
YWHAQ,1,1,1,2.750068249,2.750068249
CRACR2A,1,1,1,2.736369134,2.736369134
TCIRG1,1,1,1,2.559960422,2.559960422
HSPA4,1,1,1,2.462968755,2.462968755
CHST7,1,1,1,2.40411416,2.40411416
ELP6,1,1,1,2.358704343,2.358704343
PEA15,1,1,1,2.184720647,2.184720647
ROMO1,1,1,1,2.183970337,2.183970337
SUMO3,1,1,1,2.162128399,2.162128399
HINT2,1,1,1,2.156231057,2.156231057
NUFIP2,1,1,1,2.150748184,2.150748184
RAVER1,1,1,1,2.07217842,2.07217842
BAG3,1,1,1,2.032475223,2.032475223
NDUFS8,1,1,1,1.991271236,1.991271236
ATP6V1A,1,1,1,1.953871031,1.953871031
MTFR1L,1,1,1,1.925896377,1.925896377
RPL3,1,1,1,1.849262954,1.849262954
GNAI2,1,1,1,1.8380827,1.8380827
EDC4,1,1,1,1.835144838,1.835144838
RPRD1B,1,1,1,1.831863858,1.831863858
RAB12,1,1,1,1.830397956,1.830397956
RPSA,1,1,1,1.81830611,1.81830611
PSME1,1,1,1,1.790319779,1.790319779
AKAP8,1,1,1,1.724758588,1.724758588
PPP3R1,1,1,1,1.7178273,1.7178273
THOC2,1,1,1,1.713374837,1.713374837
ILK,1,1,1,1.709062866,1.709062866
CCT4,1,1,1,1.703766228,1.703766228
HCLS1,1,1,1,1.695383149,1.695383149
CNBP,1,1,1,1.665839452,1.665839452
H3C1,1,1,1,1.651643198,1.651643198
LILRB1,1,1,1,1.631145554,1.631145554
HNRNPD,1,1,1,1.627191586,1.627191586
MDH2,1,1,1,1.626778533,1.626778533
TMF1,1,1,1,1.612634591,1.612634591
UBA7,1,1,1,1.599821026,1.599821026
PTBP1,1,1,1,1.560026071,1.560026071
ACTG1,1,1,1,1.528899577,1.528899577
EZR,1,1,1,1.50241578,1.50241578
MITF,1,1,1,1.448645745,1.448645745
GALK1,1,1,1,1.432756622,1.432756622
GPSM3,1,1,1,1.426853422,1.426853422
CAPZB,1,1,1,1.404290464,1.404290464
CORO1A,1,1,1,1.402265165,1.402265165
MACROH2A1,1,1,1,1.392000942,1.392000942
LY6E,1,1,1,1.364879668,1.364879668
NELFA,1,1,1,1.355424428,1.355424428
MAGT1,1,1,1,1.35079067,1.35079067
AK2,1,1,1,1.348432224,1.348432224
TAF9B,1,1,1,1.339112159,1.339112159
AP2A1,1,1,1,1.326835687,1.326835687
ALDOC,1,1,1,1.28125339,1.28125339
RPE,1,1,1,1.277193365,1.277193365
STT3B,1,1,1,1.248425203,1.248425203
PYCARD,1,1,1,1.246833378,1.246833378
RRP12,1,1,1,1.243692345,1.243692345
CISD1,1,1,1,1.242439408,1.242439408
GSPT2,1,1,1,1.239709994,1.239709994
SDCBP,1,1,1,1.22850032,1.22850032
NDRG1,1,1,1,1.152255685,1.152255685
COX5A,1,1,1,1.142340418,1.142340418
FGR,1,1,1,1.138525225,1.138525225
TBC1D2B,1,1,1,1.136474902,1.136474902
IFI16,1,1,1,1.107178874,1.107178874
DHX9,1,1,1,1.089704927,1.089704927
OSTF1,1,1,1,1.08949714,1.08949714
GLRX5,1,1,1,1.088863204,1.088863204
NSF,1,1,1,1.08664857,1.08664857
PLEK,1,1,1,1.086097561,1.086097561
PARK7,1,1,1,1.065108175,1.065108175
LAIR1,1,1,1,1.056072882,1.056072882
ARPC5L,1,1,1,1.023317637,1.023317637
TUBB8,1,1,1,1.019569965,1.019569965
RP2,1,1,1,1.014804175,1.014804175
RAB11FIP1,1,1,1,1.008939838,1.008939838
GATM,1,1,1,0.99876106,0.99876106
ANKS1A,1,1,1,0.993780144,0.993780144
PDS5B,1,1,1,0.981702686,0.981702686
CCT6A,1,1,1,0.979916572,0.979916572
VDAC2,1,1,1,0.961060001,0.961060001
HMBS,1,1,1,0.957534641,0.957534641
ENO2,1,1,1,0.953878065,0.953878065
ARHGAP31,1,1,1,0.943066318,0.943066318
HSPA6,1,1,1,0.941368446,0.941368446
JUNB,1,1,1,0.928207525,0.928207525
DTX3L,1,1,1,0.923807041,0.923807041
SLC25A22,1,1,1,0.922459969,0.922459969
U2AF1,1,1,1,0.920598393,0.920598393
NNT,1,1,1,0.914310394,0.914310394
PAFAH1B2,1,1,1,0.911519925,0.911519925
ARPC1B,1,1,1,0.906390041,0.906390041
BCKDHA,1,1,1,0.891399334,0.891399334
TACC1,1,1,1,0.89089876,0.89089876
UHRF2,1,1,1,0.881605241,0.881605241
CDC42,1,1,1,0.874965818,0.874965818
PMM1,1,1,1,0.873874554,0.873874554
MAT2B,1,1,1,0.870913126,0.870913126
MX2,1,1,1,0.869833582,0.869833582
TXNDC12,1,1,1,0.868835018,0.868835018
HSPH1,1,1,1,0.859974186,0.859974186
RANBP2,1,1,1,0.855833011,0.855833011
MARCKS,1,1,1,0.855788664,0.855788664
EEF1D,1,1,1,0.854982539,0.854982539
PYM1,1,1,1,0.854126305,0.854126305
HSPB1,1,1,1,0.853430822,0.853430822
TUBA1B,1,1,1,0.848196923,0.848196923
CELF2,1,1,1,0.847056382,0.847056382
RAB11B,1,1,1,0.846368614,0.846368614
ITGB5,1,1,1,0.845416252,0.845416252
FCHSD2,1,1,1,0.844844786,0.844844786
MAPRE1,1,1,1,0.839835783,0.839835783
RPS15,1,1,1,0.828927665,0.828927665
RAP1B,1,1,1,0.821632752,0.821632752
CBX3,1,1,1,0.812314299,0.812314299
PPIE,1,1,1,0.804756482,0.804756482
LRCH4,1,1,1,0.79106717,0.79106717
CHMP4B,1,1,1,0.786159034,0.786159034
DOCK8,1,1,1,0.782170844,0.782170844
HNRNPC,1,1,1,0.781977077,0.781977077
MRPS36,1,1,1,0.781713711,0.781713711
TMSB10,1,1,1,0.776229998,0.776229998
FERMT3,1,1,1,0.749062089,0.749062089
RPS27A,1,1,1,0.748089313,0.748089313
VASP,1,1,1,0.745302876,0.745302876
UQCRFS1,1,1,1,0.737309299,0.737309299
ESYT1,1,1,1,0.730765215,0.730765215
CNPY4,1,1,1,0.722401951,0.722401951
VARS1,1,1,1,0.720107856,0.720107856
HIVEP3,1,1,1,0.706185131,0.706185131
XRCC1,1,1,1,0.704443667,0.704443667
EHBP1,1,1,1,0.699545247,0.699545247
PRKDC,1,1,1,0.694346537,0.694346537
SLC25A19,1,1,1,0.690936307,0.690936307
EVL,1,1,1,0.689462729,0.689462729
SCP2,1,1,1,0.688190987,0.688190987
CRKL,1,1,1,0.685344473,0.685344473
HADHB,1,1,1,0.683568734,0.683568734
ZNRD2,1,1,1,0.679508234,0.679508234
HLA-A,1,1,1,0.675776606,0.675776606
VIM,1,1,1,0.675700568,0.675700568
RAB1A,1,1,1,0.666129169,0.666129169
FLNB,1,1,1,0.665778357,0.665778357
H2BC12L,1,1,1,0.665773041,0.665773041
H3-3A,1,1,1,0.665429261,0.665429261
SSRP1,1,1,1,0.664546925,0.664546925
SOD2,1,1,1,0.650447205,0.650447205
BROX,1,1,1,0.634292025,0.634292025
KARS1,1,1,1,0.632681168,0.632681168
FUBP3,1,1,1,0.631921678,0.631921678
GLMP,1,1,1,0.627052052,0.627052052
NTPCR,1,1,1,0.624865767,0.624865767
GLRX3,1,1,1,0.621693697,0.621693697
SRRM2,1,1,1,0.61217355,0.61217355
RBBP7,1,1,1,0.61102996,0.61102996
S100A11,1,1,1,0.602481558,0.602481558
RSF1,1,1,1,0.602459785,0.602459785
TOMM70,1,1,1,0.586469674,0.586469674
PDIA6,1,1,1,0.583181085,0.583181085
POFUT1,1,1,1,0.582898891,0.582898891
BSG,1,1,1,0.582861368,0.582861368
ADPGK,1,1,1,0.58025966,0.58025966
